,values
MSZoning_C (all),0.010420658951792065
CentralAir,0.010713551657034122
LotArea,0.011180253711701638
GarageArea,0.0163402716355537
YearRemodAdd,0.016501841335015307
GarageCars,0.01747483886197099
TotalBsmtSF,0.02375010302290615
1stFlrSF,0.024840701060380922
BsmtFinSF1,0.029312339314895134
GrLivArea,0.09896362361281066
OverallQual,0.5917267979605617
